BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,141.27
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,77.39
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,29.76
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,74.59
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,79.28
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,81.45
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,77.85
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,55.84
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,54.57
BoardGame_TEST-2024.07.06-18:30,Battle Battle and more Battle in this game.,69.29
